"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Alcohol-related hospital admissions","Mossneuk & Newlandsmuir","S02002428","Intermediate zone",2013,"2013/14 financial year",6,187.51,52.85,452.5,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Crosshouse & Lindsayfield","S02002429","Intermediate zone",2013,"2013/14 financial year",27,729.29,473.03,1069.3,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Whitehills West","S02002430","Intermediate zone",2013,"2013/14 financial year",30,771.5,511.98,1114.12,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Greenhills","S02002431","Intermediate zone",2013,"2013/14 financial year",24,750.74,482.26,1112.93,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Westwood South","S02002432","Intermediate zone",2013,"2013/14 financial year",30,753.4,497.6,1091.1,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Westwood East","S02002433","Intermediate zone",2013,"2013/14 financial year",24,715.55,450.38,1075.52,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","The Murray","S02002434","Intermediate zone",2013,"2013/14 financial year",27,799.1,519.58,1171.91,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Birniehill, Kelvin & Whitehills East","S02002435","Intermediate zone",2013,"2013/14 financial year",27,671.38,436.12,985.16,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Blane Valley","S02002436","Intermediate zone",2013,"2013/14 financial year",9,193.6,69.36,405.36,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Balfron & Drymen","S02002437","Intermediate zone",2013,"2013/14 financial year",9,329.87,143.32,630.18,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kippen & Fintry","S02002438","Intermediate zone",2013,"2013/14 financial year",3,138.63,33.99,361.96,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cambusbarron","S02002439","Intermediate zone",2013,"2013/14 financial year",6,184.59,71.84,384.07,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Plean & Rural SE","S02002440","Intermediate zone",2013,"2013/14 financial year",27,900.85,582.34,1328.02,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cowie","S02002441","Intermediate zone",2013,"2013/14 financial year",9,430.88,199.49,803.39,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fallin","S02002442","Intermediate zone",2013,"2013/14 financial year",18,715.63,420.6,1135.77,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bannockburn","S02002443","Intermediate zone",2013,"2013/14 financial year",12,266.64,131.01,480.14,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Hillpark","S02002444","Intermediate zone",2013,"2013/14 financial year",24,725.69,466.04,1075.97,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Broomridge","S02002445","Intermediate zone",2013,"2013/14 financial year",39,662.72,467.28,911.75,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Borestone","S02002446","Intermediate zone",2013,"2013/14 financial year",27,781.42,507.39,1146.9,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","King's Park & Torbrex","S02002447","Intermediate zone",2013,"2013/14 financial year",0,35.26,3.96,127.29,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Braehead","S02002448","Intermediate zone",2013,"2013/14 financial year",24,971.38,605.44,1471.46,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","City Centre-Stirling","S02002449","Intermediate zone",2013,"2013/14 financial year",33,1757.54,1063.92,2661,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Raploch","S02002450","Intermediate zone",2013,"2013/14 financial year",42,1563.15,1115.76,2124.94,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Cornton","S02002451","Intermediate zone",2013,"2013/14 financial year",24,1048.17,642.83,1594.98,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Causewayhead","S02002452","Intermediate zone",2013,"2013/14 financial year",6,210.22,66.78,492.47,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bridge of Allan & University","S02002453","Intermediate zone",2013,"2013/14 financial year",18,292.83,170.26,465.72,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Forth","S02002454","Intermediate zone",2013,"2013/14 financial year",6,297.45,110.9,627.53,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dunblane East","S02002455","Intermediate zone",2013,"2013/14 financial year",9,221.71,93.58,433.43,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dunblane West","S02002456","Intermediate zone",2013,"2013/14 financial year",12,252.61,128.54,444.13,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Carse of Stirling","S02002457","Intermediate zone",2013,"2013/14 financial year",9,194.19,92.79,357.44,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Callander & Trossachs","S02002458","Intermediate zone",2013,"2013/14 financial year",9,267.8,121.95,502.6,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Highland","S02002459","Intermediate zone",2013,"2013/14 financial year",15,442.38,246.91,726.84,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Whitecrook (IZ01)","S02002460","Intermediate zone",2013,"2013/14 financial year",48,1234.65,902.96,1647,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Singer and Clydebank South (IZ02)","S02002461","Intermediate zone",2013,"2013/14 financial year",36,868.81,606.45,1204.21,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Drumry (IZ03)","S02002462","Intermediate zone",2013,"2013/14 financial year",66,1330.45,1020.46,1702.85,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Clydebank (IZ04)","S02002463","Intermediate zone",2013,"2013/14 financial year",39,957.18,677.17,1312.84,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Clydebank North (IZ05)","S02002464","Intermediate zone",2013,"2013/14 financial year",18,500.9,298.92,785.81,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Clydebank East (IZ06)","S02002465","Intermediate zone",2013,"2013/14 financial year",39,782.55,543.37,1087.32,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Duntocher (IZ07)","S02002466","Intermediate zone",2013,"2013/14 financial year",33,730.46,499,1030.7,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dalmuir (IZ08)","S02002467","Intermediate zone",2013,"2013/14 financial year",87,1635.78,1303.89,2025.46,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Kilpatrick (IZ09)","S02002468","Intermediate zone",2013,"2013/14 financial year",36,760.75,505,1090,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bowling (IZ10)","S02002469","Intermediate zone",2013,"2013/14 financial year",36,913.12,633.12,1271.08,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dumbarton East (IZ11)","S02002470","Intermediate zone",2013,"2013/14 financial year",57,1282.68,963.78,1671.22,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dumbarton (IZ12)","S02002471","Intermediate zone",2013,"2013/14 financial year",66,973.85,749.98,1242.78,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dalreoch (IZ13)","S02002472","Intermediate zone",2013,"2013/14 financial year",63,1211.79,924.09,1558.93,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Leven (IZ14)","S02002473","Intermediate zone",2013,"2013/14 financial year",24,458.79,290.5,685.83,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bonhill (IZ15)","S02002474","Intermediate zone",2013,"2013/14 financial year",33,644.3,439.21,910.34,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Alexandria (IZ16)","S02002475","Intermediate zone",2013,"2013/14 financial year",57,1634.22,1200.96,2161.19,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Balloch (IZ17)","S02002476","Intermediate zone",2013,"2013/14 financial year",51,853.95,634.37,1123.98,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Lomond (IZ18)","S02002477","Intermediate zone",2013,"2013/14 financial year",45,1014.12,728.95,1371.25,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fauldhouse","S02002478","Intermediate zone",2013,"2013/14 financial year",39,804.48,567.25,1105.81,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Breich Valley","S02002479","Intermediate zone",2013,"2013/14 financial year",42,722.09,516.16,982.11,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","West Calder & Polbeth","S02002480","Intermediate zone",2013,"2013/14 financial year",30,595.01,403.22,845.89,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bellsquarry, Adambrae & Kirkton","S02002481","Intermediate zone",2013,"2013/14 financial year",12,276.62,133.04,498.24,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bankton & Murieston","S02002482","Intermediate zone",2013,"2013/14 financial year",9,154.31,63.69,304.06,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dedridge East","S02002483","Intermediate zone",2013,"2013/14 financial year",45,937.92,674.77,1267.49,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mid Calder & Kirknewton","S02002484","Intermediate zone",2013,"2013/14 financial year",18,329.32,192.59,522.18,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","East Calder","S02002485","Intermediate zone",2013,"2013/14 financial year",39,753.37,527.19,1041.56,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Pumpherston & Uphall Station","S02002486","Intermediate zone",2013,"2013/14 financial year",21,814.1,505.24,1239.18,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Craigshill","S02002487","Intermediate zone",2013,"2013/14 financial year",39,785.42,483.81,1169.74,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Howden","S02002488","Intermediate zone",2013,"2013/14 financial year",36,840.56,582.99,1172.14,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Livingston Village & Eliburn South","S02002489","Intermediate zone",2013,"2013/14 financial year",27,497.07,318.39,736.72,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Ladywell-West Lothian","S02002490","Intermediate zone",2013,"2013/14 financial year",39,888.28,621.02,1228.83,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Knightsridge","S02002491","Intermediate zone",2013,"2013/14 financial year",27,579.14,360.09,869.75,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Knightsridge & Deans North","S02002492","Intermediate zone",2013,"2013/14 financial year",18,404.7,231.31,654.21,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Deans","S02002493","Intermediate zone",2013,"2013/14 financial year",21,763.02,468.23,1171.83,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Carmondean & Eliburn North","S02002494","Intermediate zone",2013,"2013/14 financial year",39,817.47,559.73,1144.84,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Seafield","S02002495","Intermediate zone",2013,"2013/14 financial year",30,1508.1,1019.17,2147.67,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Blackburn-West Lothian","S02002496","Intermediate zone",2013,"2013/14 financial year",42,855.26,615.21,1157.49,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Blaeberry Hill & East Whitburn","S02002497","Intermediate zone",2013,"2013/14 financial year",33,563.27,388.19,789.5,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Whitburn Central","S02002498","Intermediate zone",2013,"2013/14 financial year",51,1066.49,790.04,1407.87,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Whitburn, Croftmalloch & Greenrigg","S02002499","Intermediate zone",2013,"2013/14 financial year",15,502.38,283.61,820.77,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Armadale","S02002500","Intermediate zone",2013,"2013/14 financial year",45,748.78,542.83,1006.7,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Armadale South","S02002501","Intermediate zone",2013,"2013/14 financial year",36,544.94,373.97,765.04,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bathgate, Wester Inch & Inchcross","S02002502","Intermediate zone",2013,"2013/14 financial year",24,529.9,330.75,798.57,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bathgate & Boghall","S02002503","Intermediate zone",2013,"2013/14 financial year",48,1203.4,880.89,1603.42,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bathgate East","S02002504","Intermediate zone",2013,"2013/14 financial year",57,888.91,670.03,1156.05,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Bathgate West","S02002505","Intermediate zone",2013,"2013/14 financial year",33,494.63,334.81,702.79,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Blackridge, Westfield & Torphichen","S02002506","Intermediate zone",2013,"2013/14 financial year",18,491.27,289.48,778.65,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Linlithgow South","S02002507","Intermediate zone",2013,"2013/14 financial year",15,232.94,123.58,396.33,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Linlithgow Bridge","S02002508","Intermediate zone",2013,"2013/14 financial year",15,345.15,190.26,573.41,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Linlithgow North","S02002509","Intermediate zone",2013,"2013/14 financial year",6,145.2,38.33,355.49,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Winchburgh, Bridgend & Philpstoun","S02002510","Intermediate zone",2013,"2013/14 financial year",30,631.84,421.4,909.66,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Broxburn Kirkhill","S02002511","Intermediate zone",2013,"2013/14 financial year",24,667.56,426.97,992.14,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Uphall, Dechmont & Ecclesmachan","S02002512","Intermediate zone",2013,"2013/14 financial year",39,726.33,515.1,994.64,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Broxburn South","S02002513","Intermediate zone",2013,"2013/14 financial year",18,445.78,258.07,713.09,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Broxburn East","S02002514","Intermediate zone",2013,"2013/14 financial year",18,630.02,369.47,1001.07,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Ayrshire & Arran","S08000015","Health board",2013,"2013/14 financial year",3024,837.12,807.16,867.9,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Borders","S08000016","Health board",2013,"2013/14 financial year",633,567.27,522.78,614.46,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Dumfries & Galloway","S08000017","Health board",2013,"2013/14 financial year",783,518.55,482.11,556.97,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Forth Valley","S08000019","Health board",2013,"2013/14 financial year",1449,495.53,470.06,522.01,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Grampian","S08000020","Health board",2013,"2013/14 financial year",3039,532.09,513.15,551.55,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Highland","S08000022","Health board",2013,"2013/14 financial year",2178,667.58,639.5,696.56,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Lothian","S08000024","Health board",2013,"2013/14 financial year",4962,610.63,593.45,628.17,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Orkney","S08000025","Health board",2013,"2013/14 financial year",321,1407.14,1255.97,1571.37,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Shetland","S08000026","Health board",2013,"2013/14 financial year",162,683.17,581.19,797.82,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Western Isles","S08000028","Health board",2013,"2013/14 financial year",249,871.41,765.08,988.2,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Fife","S08000029","Health board",2013,"2013/14 financial year",2292,636.76,610.75,663.59,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Tayside","S08000030","Health board",2013,"2013/14 financial year",1995,493.15,471.57,515.45,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Greater Glasgow & Clyde","S08000031","Health board",2013,"2013/14 financial year",10851,1014.36,995.06,1033.93,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","NHS Lanarkshire","S08000032","Health board",2013,"2013/14 financial year",4779,753.07,731.67,774.94,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Aberdeen City","S11000001","Alcohol & drug partnership",2013,"2013/14 financial year",1707,791.82,753.6,831.44,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Aberdeenshire","S11000002","Alcohol & drug partnership",2013,"2013/14 financial year",927,362.83,339.65,387.16,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Angus","S11000003","Alcohol & drug partnership",2013,"2013/14 financial year",438,381.73,346.42,419.62,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Argyll & Bute","S11000004","Alcohol & drug partnership",2013,"2013/14 financial year",600,665.17,611.86,721.81,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Clackmannanshire","S11000005","Alcohol & drug partnership",2013,"2013/14 financial year",261,505.44,445.44,571.2,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dumfries & Galloway","S11000006","Alcohol & drug partnership",2013,"2013/14 financial year",783,518.55,482.11,556.97,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dundee City","S11000007","Alcohol & drug partnership",2013,"2013/14 financial year",1026,756.55,710.15,805.15,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","East Ayrshire","S11000008","Alcohol & drug partnership",2013,"2013/14 financial year",969,805.15,754.76,857.99,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","East Dunbartonshire","S11000009","Alcohol & drug partnership",2013,"2013/14 financial year",453,435.09,395.17,477.89,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","East Renfrewshire","S11000011","Alcohol & drug partnership",2013,"2013/14 financial year",387,449.29,404.73,497.34,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Edinburgh, City of","S11000012","Alcohol & drug partnership",2013,"2013/14 financial year",2976,662.29,638.02,687.22,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Falkirk","S11000013","Alcohol & drug partnership",2013,"2013/14 financial year",789,512.99,477.45,550.45,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Fife","S11000014","Alcohol & drug partnership",2013,"2013/14 financial year",2292,636.76,610.75,663.59,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Glasgow City","S11000015","Alcohol & drug partnership",2013,"2013/14 financial year",6654,1249.22,1218.42,1280.59,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Highland","S11000016","Alcohol & drug partnership",2013,"2013/14 financial year",1578,669.59,636.63,703.81,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Inverclyde","S11000017","Alcohol & drug partnership",2013,"2013/14 financial year",813,1022.72,952.79,1096.37,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Moray","S11000019","Alcohol & drug partnership",2013,"2013/14 financial year",402,434.01,392.34,478.87,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","North Ayrshire","S11000020","Alcohol & drug partnership",2013,"2013/14 financial year",1206,922.55,870.48,976.89,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Orkney Islands","S11000022","Alcohol & drug partnership",2013,"2013/14 financial year",321,1407.14,1255.97,1571.37,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Perth & Kinross","S11000023","Alcohol & drug partnership",2013,"2013/14 financial year",531,354.22,324.45,385.97,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Renfrewshire","S11000024","Alcohol & drug partnership",2013,"2013/14 financial year",1707,1010.8,962.9,1060.44,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Scottish Borders","S11000025","Alcohol & drug partnership",2013,"2013/14 financial year",633,567.27,522.78,614.46,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Shetland Islands","S11000026","Alcohol & drug partnership",2013,"2013/14 financial year",162,683.17,581.19,797.82,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","South Ayrshire","S11000027","Alcohol & drug partnership",2013,"2013/14 financial year",849,772.81,720.78,827.55,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Stirling","S11000029","Alcohol & drug partnership",2013,"2013/14 financial year",396,455.65,411.2,503.54,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","West Dunbartonshire","S11000030","Alcohol & drug partnership",2013,"2013/14 financial year",834,979.85,912.9,1050.33,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","West Lothian","S11000031","Alcohol & drug partnership",2013,"2013/14 financial year",1092,642.28,604.06,682.25,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Na h-Eileanan Siar","S11000032","Alcohol & drug partnership",2013,"2013/14 financial year",249,871.41,765.08,988.2,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Mid & East Lothian","S11000051","Alcohol & drug partnership",2013,"2013/14 financial year",897,491.75,459.8,525.31,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Lanarkshire","S11000052","Alcohol & drug partnership",2013,"2013/14 financial year",4779,753.07,731.67,774.94,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Clackmannanshire","S12000005","Council area",2013,"2013/14 financial year",261,505.44,445.44,571.2,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Dumfries & Galloway","S12000006","Council area",2013,"2013/14 financial year",783,518.55,482.11,556.97,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","East Ayrshire","S12000008","Council area",2013,"2013/14 financial year",969,805.15,754.76,857.99,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","East Lothian","S12000010","Council area",2013,"2013/14 financial year",447,444.79,404.12,488.42,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","East Renfrewshire","S12000011","Council area",2013,"2013/14 financial year",387,449.29,404.73,497.34,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Na h-Eileanan Siar","S12000013","Council area",2013,"2013/14 financial year",249,871.41,765.08,988.2,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Falkirk","S12000014","Council area",2013,"2013/14 financial year",789,512.99,477.45,550.45,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Highland","S12000017","Council area",2013,"2013/14 financial year",1578,669.59,636.63,703.81,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Inverclyde","S12000018","Council area",2013,"2013/14 financial year",813,1022.72,952.79,1096.37,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Midlothian","S12000019","Council area",2013,"2013/14 financial year",450,545.24,495.56,598.53,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Alcohol-related hospital admissions","Moray","S12000020","Council area",2013,"2013/14 financial year",402,434.01,392.34,478.87,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
